id,language,Sentence,Score,
572,eng,I slept a little during lunch break because I was so tired.,3.4,
573,eng,I started learning Chinese last week.,3.3,
574,eng,It is easier to hit on people on the Internet than in the street.,3.2,
575,eng,"I live near the sea, so I often get to go to the beach.",3.6,
576,eng,Someday I will buy a cotton candy machine.,2.7,
577,eng,It's practical to have a laptop.,3.5,
578,eng,Your glasses fell on the floor.,3.3,
579,eng,How many times a day do you look at yourself in the mirror?,2.4,
580,eng,We went to London last year.,3.3,
581,eng,She doesn't want to talk about it.,3.4,
582,eng,I lost my inspiration.,1.4,
583,eng,"If you don't have anything to do, look at the ceiling of your room.",3.8,
584,eng,It doesn't mean anything!,4.8,
585,eng,Be patient please. It takes time.,2.8,
586,eng,Close the door when you leave.,3.6,
587,eng,This is such a sad story.,3.5,
588,eng,"If there's no solution, then there's no problem.",2.9,
589,eng,My little brother is watching TV.,3,
590,eng,It's presumptuous for humans to assume that our task is to do what only God can do.,2.5,
591,eng,"An astute reader should be willing to weigh everything they read, including anonymous sources.",3.2,
592,eng,"Denying she was an anarchist, Katja maintained she wished only to make changes in our government, not to destroy it.",3.4,
593,eng,"Blindness is responsible for a staggering toll of poor health, suffering, and loss of dignity and diminution in the quality of lives of people worldwide.",2.8,
594,eng,"The formation and movement of hurricanes are capricious, even with our present-day technology.",2.8,
595,eng,"When you send a telegram, brevity is essential because you will be charged for every word.",3.6,
596,eng,"David has a keen interest in aesthetics — the qualities that make a painting, sculpture, musical composition, or poem pleasing to the eye, ear, or mind.",3.3,
597,eng,"Despite Trang's constant affirmations of love, Spenser is still afraid someday she will fall out of love with him.",1.2,
598,eng,You met him at the university?,2.4,
599,eng,Aaah!! My computer is broken!,4.7,
600,eng,The private colleges and universities of the United States are autonomous.,3,
601,eng,"Every time I join a new game of Warcraft, I am pitted against a new team of adversaries.",2.8,
602,eng,"From the moment that I knew that the university existed, I've wanted to go there.",3.9,
603,eng,My apathy for voting comes from my distaste for politics.,3.6,
604,eng,The ascendancy of monarchs is what keeps their subjects from rebellion.,3.5,
605,eng,Sarah was discerning enough to realize that her friends were trying to prank her.,3.7,
606,eng,The orchestra makes discordant noises when tuning up.,3.4,
607,eng,The discrepancy between the stories of the two parties involved in the accident was so great that the authorities had a hard time deciding which side was telling the truth.,3.4,
608,eng,"Yes, it happens from time to time.",2.7,
609,eng,I have a great fear of being disdained by those I love and care about.,2,
610,eng,"Most people have a great disinclination to get out of bed early, even if they have to.",3.4,
611,eng,Most people only want to hear their own truth.,3.2,
612,eng,The audience acclaimed the actors for their performance.,3.3,
613,eng,It is good to have ideals... don't you think?,2.6,
614,eng,The student decided to abridge his paper by taking out unnecessary details.,3.4,
615,eng,People in the world are always advocating for more freedom and equality.,3.8,
616,eng,Politicians are always censured for outrageous or inappropriate behavior.,3.7,
617,eng,Ms. Eichler had a notorious reputation for being austere to her students.,3.4,
618,eng,"If you don't listen to us, we will have to resort to coercion.",2.3,
619,eng,"When I have migraines, aspirin doesn't alleviate the pain for me.",2.4,
620,eng,Spenser's sarcastic and joking remarks are often misinterpreted as signs of ambivalence and often taken too seriously.,3.7,
621,eng,My mother prefers the arbitrary selection of the lottery machines over my lucky numbers.,3.6,
622,eng,"To him, hunger was an abstract concept; he always had enough to eat.",3.6,
623,eng,The convicted drug dealer was willing to comply with the authorities to have his death sentence reduced to a life sentence.,3.1,
624,eng,I consider the Jehovah's witnesses who knock on my door all the time to be no different from religious zealots trying to force their beliefs on me.,3.8,
625,eng,The war on Iraq is a volatile subject of political debate; any wrong word and a heated argument could spark.,3.5,
626,eng,My next door neighbor is a virtuoso whose skills with the piano have earned him a name among music experts.,3.4,
627,eng,He was sick of being vilified all the time by people who were jealous of his ability.,3.2,
628,eng,Sven was so verbose that his friends resorted to calling him a chatterbox.,3.3,
629,eng,Even people who don't believe in the Catholic church venerate the Pope as a symbolic leader.,3.5,
630,eng,"Unsure of which suitor she wanted to marry, the princess vacillated, saying now one, now the other.",2.7,
631,eng,"With the heirless king going crazy and royal family poisoned, the general of the army finally had his chance to usurp the throne.",3.5,
632,eng,The recent scandals involving altar boys and religious leaders have undermined the faith people have in the Church.,3.9,
633,eng,"As the plane was approaching turbulence, the pilot asked the passengers aboard the plane to fasten their seat belts.",3,
634,eng,There is a fine line between speech that is terse and to the point and speech that is too abrupt.,3.9,
635,eng,"Though his stay in Europe was transient, Spenser felt he had learned much more about interactions with other people from traveling than he did at college.",3.8,
636,eng,"Jason was a taciturn individual, so it was always a real surprise when he said anything.",3.6,
637,eng,"The king was tired of his sycophants always praising him, so he sent them away.",3.6,
638,eng,Spenser would not tell anyone his surreptitious plan to get back at his friends for pranking him.,3.4,
639,eng,"If Spenser doesn't keep adding and translating sentences, the other contributors will surely surpass him.",3.7,
640,eng,There was always too much superfluous writing in his essays.,3.8,
641,eng,"His essay gave only a superficial analysis of the problem, so it was a real surprise to him when he got the highest grade in the class.",2.5,
642,eng,"It depends what you mean by ""believe"" in God.",2.6,
643,eng,"Professors should explain everything in detail, not be succinct and always tell students to go home and read their books.",3.8,
644,eng,"If I gave no answer, I would not have spoken.",3.7,
645,eng,Prosecutors in court have to substantiate their claims in order to prove a suspect is guilty.,3.8,
646,eng,The people who come on the Maury Povich show often make pretentious claims about their lovers cheating on them.,3.9,
647,eng,"It is a prevalent belief, according to a nationwide poll in the United States, that Muslims are linked with terrorism.",3.4,
648,eng,"My roommate is prodigal when it comes to spending money on movies; he buys them the day they're released, regardless of price.",3.2,
649,eng,The profane language used on network television makes many parents with young children not want to subscribe to cable.,3.4,
650,eng,Freud's insights into human behavior led to him being honored as a profound thinker.,3.5,
651,eng,Food and drink were served in such profusion at the wedding that the bride and groom began to wonder if they should not have invited more guests.,2.5,
652,eng,The proliferation of Internet usage has given birth to a new generation of young people.,3.4,
653,eng,"My friends say I'm a prolific writer, but I haven't written anything for months.",2.4,
654,eng,Blind people sometimes develop a compensatory ability to sense the proximity of objects around them.,2.7,
655,eng,A miser hoards money not because he is prudent but because he is greedy.,3.9,
656,eng,"When both girls told John they had feelings for him, he was in a quandary as to which girl he should be with.",3.2,
657,eng,"Even now, many years after the Cold War, there is still much rancor between the Russians and the Germans, especially in areas once occupied by the Soviet Union.",3.4,
658,eng,The defense lawyer was confident that he would be able to answer the prosecutor's arguments in his rebuttal.,3.6,
659,eng,Johnson is a recluse; he prefers to isolate himself from the rest of the students in our class.,3.5,
660,eng,Teachers must get tired of rectifying the same mistakes over and over again in their students' papers.,3.8,
661,eng,The bottles of beer that I brought to the party were redundant; the host's family owned a brewery.,3.3,
662,eng,The witnesses were able to refute the false testimony of the suspect.,3.4,
663,eng,The guild leader relegated Vince to a lesser officer because he was abusing his power.,3.5,
664,eng,Joan of Arc refused to renounce her belief that the voice she heard was from God and none other.,3.6,
665,eng,"Shocked by the events of September 11th, politicians all over the world condemned the terrorists for their reprehensible deed.",3.2,
666,eng,James had a great fear of making mistakes in class and being reprimanded.,3.3,
667,eng,The principal severely reproved the students whenever they made a mess in the hallway.,3.7,
668,eng,My parents would repudiate my brother if they ever found out he was gay.,3.7,
669,eng,"In order to keep his original idea from being copied, Henry resorted to reticence.",3.4,
670,eng,I would like to retract my previous statement.,2.6,
671,eng,"To win his audience, the speaker resorted to using rhetorical techniques he learned from his communication courses.",3.5,
672,eng,His father would never sanction his engagement to a girl who did not share the same religious beliefs as their family.,3.8,
673,eng,Tim is a huge fan of satirical comedy.,3.5,
674,eng,"Though Alfred is scrupulous in fulfilling his duties at work, he is less conscientious about his obligations at home.",2.9,
675,eng,Spenser's mother often scrutinizes him for every small mistake he makes.,3.7,
676,eng,"All the king's subjects, fearing his wrath, often acted quite servile.",3.6,
677,eng,People are often quite skeptical about things unless given believable proof.,3.8,
678,eng,"From the doctor's grim expression, it was clear he had somber news for the patient.",3.9,
679,eng,I always have to check my yard for stagnant pools of water so mosquitoes don't breed there.,3.5,
680,eng,Sometimes he has difficulty being articulate about his views.,3,
681,eng,"Peter was an altruistic video game player; he would give items to people who needed them, rather than selling them for personal profit.",3.7,
682,eng,Jimmy tried to cajole his parents into letting him drive across the country with his friends.,3,
683,eng,Censorious people delight in casting blame.,3.7,
684,eng,Pop artists thrive on the adulation of their loyal fans.,3.6,
685,eng,We must learn to meet adversity gracefully.,3.9,
686,eng,Bill Clinton spoke in ambiguous language when asked to describe his relationship with Monica Lewinsky.,3.7,
687,eng,He was a benevolent old man who volunteered to mow his neighbors' lawns for free.,3.6,
688,eng,His stern tone and loud voice belied his inner sensitivity and caring nature.,3.7,
689,eng,"The wealthy, self-indulgent young man felt oddly drawn to the strict, ascetic life led by members of some monastic orders.",3.5,
690,eng,The statue of the Minute Man commemorates the valiant soldiers who fought in the Revolutionary War.,3.4,
691,eng,"Baffled by Sherlock Holmes' cryptic remarks, Watson wondered whether Holmes was intentionally concealing his thoughts about the crime.",2.6,
692,eng,What criterion did you use when you elected this essay as the winner?,2.5,
693,eng,Con artists take advantage of the credulity of inexperienced investors and swindle them out of their money.,3.7,
694,eng,I cannot dance one single step of Salsa.,2.7,
695,eng,"Even if your sentences were actually senseless, you at least have the luck to be able to form beautiful sentences.",3.8,
696,eng,I like my job very much.,3.5,
697,eng,"Ray was willing to corroborate Gary's story, but the police were still unconvinced that either of them were telling the truth.",3.4,
698,eng,The murderer was convicted and sentenced to life in prison.,3.3,
699,eng,Sometimes hockey players get so competitive that fights break out.,3.1,
700,eng,There was a feeling of constraint in the room; no one dared to tell the king how foolish his decision was.,3.4,
701,eng,The consensus indicates that we are opposed to the proposed idea.,2.7,
702,eng,A small forest fire can easily spread and quickly become a great conflagration.,3.7,
703,eng,"Even though he had served his time in prison, the murderer was never quite condoned by the public for his crime.",2.8,
704,eng,I find words with concise definitions to be the easiest to remember.,4,
705,eng,He was still mad about the accident despite his wife's conciliatory words.,3.3,
706,eng,A cursory examination of his teeth indicated that he had gingivitis.,2.9,
707,eng,It was a surprise to see all the students behaving with decorum on prom night.,2.3,
708,eng,"The news article painted the defendant as a guilty man, even though he had been proven innocent.",3.8,
709,eng,The politician pushed for reform by denouncing the corruption of the government officials.,3.4,
710,eng,The depravity of the king's deeds led the people to believe he was nothing more than a tyrant that needed to be overthrown.,3.8,
711,eng,I dreamt about you.,3.6,
712,eng,I have to get a new computer.,3.7,
713,eng,I won't lose!,4.3,
714,eng,I was late to school.,3.4,
715,eng,Classes are starting again soon.,3.3,
716,eng,I think I'm gonna sneeze. Give me a tissue.,3.7,
717,eng,"For a moment there, I thought he had gone mad.",2.1,
718,eng,This day was just a waste of time and money.,3.7,
719,eng,It caught me off guard; I didn't know what to do.,1.3,
720,eng,But you've never told me about this!,4.1,
721,eng,I've changed my website's layout.,3.5,
722,eng,"When we are small, everything seems so big.",3.6,
723,eng,He won't beat me.,3.5,
724,eng,I have to do laundry while it's still sunny.,3.5,
725,eng,"Sorry, I don't think I'm gonna be able to.",2.6,
726,eng,You had plenty of time.,3.5,
727,eng,Stop criticizing me!,5,
728,eng,"Come on! Talk to me, Trang.",4.7,
729,eng,I'm almost done.,3.8,
730,eng,Take the other chair!,4,
731,eng,How many sandwiches are there left?,2.5,
732,eng,I'm not inspired anymore.,3.5,
733,eng,I won't lower myself to his level.,3.2,
734,eng,We could see the sunset from the window.,3.5,
735,eng,It's driving me crazy.,3.6,
736,eng,Did you say that I could never win?,2.1,
737,eng,It's all dark outside.,3,
738,eng,What happened? There's water all over the apartment.,1.4,
739,eng,"During summer breaks, I ate dinner at midnight.",3.2,
740,eng,You can finish your essay now.,3.5,
741,eng,"You will say and do things your parents said and did, even if you swore you would never do them.",3.8,
742,eng,I am alive even though I am not giving any sign of life.,2.5,
743,eng,Never try to die.,4.4,
744,eng,I am too old for this world.,3.8,
745,eng,Life begins when we realize who we really are.,3.6,
746,eng,Life starts when you decide what you are expecting from it.,3.7,
747,eng,Life begins when you pay taxes.,3.4,
748,eng,What you don't have is better than what you do have.,3.3,
749,eng,Life begins when you're ready to live it.,3.5,
750,eng,It is never too late to learn.,3.3,
751,eng,"It's just five in the morning, but nevertheless it is light out.",2.8,
752,eng,He told me the story of his life.,3.5,
753,eng,I never said I was fragile.,3.9,
754,eng,I wonder if I am made for this world.,2.4,
755,eng,What are you talking about?,2.4,
756,eng,I want a piece of candy.,3.5,
757,eng,I knew that today would be fun.,3.4,
758,eng,"A child is not a vessel for filling, but a fire to light.",3.6,
759,eng,Sadly many people will believe things told to them via an email which they would find implausible face-to-face.,3.1,
760,eng,"It might sound far-fetched, but this is a real problem.",2.9,
761,eng,"The police are really good at understanding ""Someone stole my credit card and ran up a lot of charges."" It's a lot harder to get them to buy into ""Someone stole my magic sword.""",3.9,
762,eng,When are we eating? I'm hungry!,4,
763,eng,I have class tomorrow.,3.2,
764,eng,I can't believe it!,4,
765,eng,"Thank you. ""You're welcome.""",3.5,
766,eng,"How do you pronounce ""pronounce""?",2.4,
767,eng,Winter is my favorite season.,3.6,
768,eng,It's difficult to have great ideas.,3.4,
769,eng,The data suggest that the optimum length of a lecture may be 30 instead of 60 minutes.,3,
770,eng,I tend to look at the pictures before reading the text.,3.1,
771,eng,I learned a lot from you.,3.5,
772,eng,We walked a lot.,3.3,
773,eng,I spent twelve hours on the train.,3.2,
774,eng,She got sick this weekend.,3.4,
775,eng,"Hold on, someone is knocking at my door.",3.7,
776,eng,He's rich. He doesn't need money!,4.3,
777,eng,He's sleeping like a baby.,3.2,
778,eng,They're making too much noise. I can't concentrate.,3.8,
779,eng,I want a massage. I need to relax.,3.8,
780,eng,You're sick. You have to rest.,3.6,
781,eng,There's a secret path on the left.,3.3,
782,eng,Smith has spent years studying the effects of sleep and sleep loss on memory and learning.,3.2,
783,eng,She's asking for the impossible.,3.6,
784,eng,He disappeared without a trace.,3.6,
785,eng,I can place the palms of my hands on the floor without bending my knees.,3.2,
786,eng,There cannot be progress without communication.,3.4,
787,eng,Everyone would like to believe that dreams can come true.,3.4,
788,eng,The best way to make your dreams come true is to wake up.,3.5,
789,eng,The world doesn't revolve around you.,3.6,
790,eng,The world is full of fools.,3.6,
791,eng,Are you saying my life is in danger?,1.6,
792,eng,Do you have any idea what my life is like?,3.8,
793,eng,This place has a mysterious atmosphere.,3.6,
794,eng,I look forward to hearing your thoughts on this matter.,3.8,
795,eng,So what if I am gay? Is it a crime?,4.2,
796,eng,My life is hollow without him.,3.6,
797,eng,I don't want to fail my exams.,3.5,
798,eng,My mother bought two bottles of orange juice.,3.4,
799,eng,She was wearing a black hat.,3.2,
800,eng,We made pancakes for breakfast.,3.5,
801,eng,I spent the whole afternoon chatting with friends.,3.4,
802,eng,I want to be more independent.,3.8,
803,eng,Are you just going to stand there all day?,2.6,
804,eng,A rabbit has long ears and a short tail.,3.3,
805,eng,My heart was filled with happiness.,3.7,
806,eng,He wishes to erase bad memories.,3.4,
807,eng,"Sir, you are not allowed to park your car here.",4,
808,eng,Your secret will be safe with me.,4,
809,eng,I don't want to hear any more of your complaining.,4.2,
810,eng,Tell them to call me before they leave.,3.8,
811,eng,You should have refused such an unfair proposal.,3.9,
812,eng,I don't have the strength to keep trying.,3.8,
813,eng,Mathematics is not just the memorization of formulas.,3.7,
814,eng,I didn't mean to give you that impression.,3.4,
815,eng,Yes! I won twice in a row!,4.5,
816,eng,I'm tired of eating fast food.,4.3,
817,eng,I'm sick and tired of being sick and tired.,3.9,
818,eng,I can't wait to go on a vacation.,4,
819,eng,The rooms in this hotel are really very bad at muffling sounds. I can hear my neighbor chewing his gum!,4.3,
820,eng,The essence of mathematics is liberty.,3.5,
821,eng,Can you imagine what our lives would be like without electricity?,2.8,
822,eng,Where is the bathroom?,2.5,
823,eng,"If you lend someone $20 and never see that person again, it was probably worth it.",3.6,
824,eng,The essence of liberty is mathematics.,3.4,
825,eng,His story was too ridiculous for anyone to believe.,3.6,
826,eng,How many hours of sleep do you need?,2.4,
827,eng,Each person is a world.,3.5,
828,eng,I have French nationality but Vietnamese origins.,3.6,
829,eng,It's very frustrating to try to find your glasses when you can't see anything without glasses.,3.7,
830,eng,Do you think mankind will someday colonize the Moon?,1.6,
831,eng,"What famous songs do you wish you had composed, and why?",2.4,
832,eng,"I'm going to buy myself a new camera, digital this time.",3.4,
833,eng,I'm crazy about you.,4,
834,eng,I don't know what is worse.,2.2,
835,eng,Life in prison is worse than the life of an animal.,3.9,
836,eng,I am proud to be a part of this project.,4.2,
837,eng,Beauty lies in the eyes of the one who sees.,4.1,
838,eng,Who buys this type of art?,2.3,
839,eng,Why can't we tickle ourselves?,2.4,
840,eng,The answer leads us to a vicious circle.,3.8,
841,eng,I'm too lazy to do my homework.,3.4,
842,eng,What... you still don't know how to drive?,2.6,
843,eng,Have you got a beard already?,2.7,
844,eng,I feel that I am free.,3.7,
845,eng,Freedom is not free.,3.6,
846,eng,I created a shortcut on the desktop.,3.4,
847,eng,I want an MP3 player!,4.4,
848,eng,My brother is very important. At least he thinks he is.,2.6,
849,eng,While eating a pizza he was annoying his sister.,3.2,
850,eng,"At this rate, we're not likely to be done before the end of the week.",2.1,
851,eng,I guess my view on friendship is pretty bleak because I've never really had to rely on anyone for anything.,2.1,
852,eng,What?! You ate my chocolate bear?!,4.6,
853,eng,"No, I cannot let you in, there's one person too many.",3.6,
854,eng,Where are you?,1.1,
855,eng,He will make you eat dirt.,3.8,
856,eng,He's got a face like a month of wet Sundays.,4.1,
857,eng,"Holy crap, who's the asshole who dares call me in the middle of the night?!",5,
858,eng,He has just published an interesting series of articles.,3.2,
859,eng,You piss me off!,5,
860,eng,No way!,4.2,
861,eng,It's a dead end.,3,
862,eng,I don't necessarily trust translations.,2.7,
863,eng,To share one's passion is to live it fully.,3.4,
864,eng,"The day before yesterday you impressed everyone, but I already knew you.",3.7,
865,eng,"If I showed you my house, my neighborhood back then, would you understand where I am from?",1.6,
866,eng,"Life is not long, it is wide!",4.2,
867,eng,"When I was your age, Pluto was a planet.",3.8,
868,eng,She is on the verge of a nervous breakdown.,3.5,
869,eng,Elephants are the largest land animals alive today.,3.3,
870,eng,"If you teach me how to dance, I will show you my hidden scars.",4.1,
871,eng,The elevators in a skyscraper are vital systems.,3.5,
872,eng,Fruits and vegetables are essential to a balanced diet.,3.1,
873,eng,"Cheese is a solid food made from the milk of cows, goats, sheep, and other mammals.",3.2,
874,eng,"I still don't like Cavalieri, Tonelli, or Fubini... and my oral calculus exam is already tomorrow.",2.1,
875,eng,I usually take a shower in the evening.,3.3,
876,eng,He spent the evening reading a book.,3.1,
877,eng,You have been thinking about this problem the whole morning. Take a break; go eat lunch.,3.6,
878,eng,"If I don't do it now, I never will.",2.4,
879,eng,Good night. Sweet dreams.,3.4,
880,eng,This song is so moving that it brings tears to my eyes.,3.8,
881,eng,There are a lot of things you don't know about my personality.,3.4,
882,eng,"Perhaps you are right, I have been selfish.",2.6,
883,eng,Everyone deserves a second chance.,3.4,
884,eng,"When we borrow money, we must agree on the conditions.",3.7,
885,eng,What is the advantage of this technology?,2.7,
886,eng,"If you do not have this program, you can download it now.",3.3,
887,eng,The headline caught my eye this morning.,3.3,
888,eng,Gonzales offers a bike to all his employees in Europe.,3.1,
889,eng,There are 1000 movies that one must watch before dying.,3.9,
890,eng,"I have been told that I am pragmatic, and I am.",4.3,
891,eng,"I prefer to look for a solution to problems, not only to report them.",3.8,
892,eng,I'm running out of ideas.,3,
893,eng,"The seven questions that an engineer has to ask himself are: who, what, when, where, why, how and how much.",3.2,
894,eng,You are still asking yourself what the meaning of life is?,2.7,
895,eng,When can one say that a person has alcohol issues?,1.6,
896,eng,Remember that we are all in the same boat.,3,
897,eng,"All I need to know about life, I learned from a snowman.",3.5,
898,eng,Check that your username and password are written correctly.,3.7,
899,eng,Goodbyes are always sad.,3.1,
900,eng,Don't forget about us!,3.4,
901,eng,Time has passed very fast.,3.2,
902,eng,Which is your luggage?,2.3,
903,eng,"Open the cupboard to the left, the bottles are in there.",3.5,
904,eng,There are also nightclubs where you dance flamenco.,3.2,
905,eng,The entrée includes a beverage.,3.1,
906,eng,I suggest that we go out on Friday.,3.7,
907,eng,That way I kill two birds with one stone.,3.6,
908,eng,Do you have professional experience?,2.5,
909,eng,How much do you leave for a tip in Spain?,2.1,
910,eng,Who painted this painting?,2.3,questioning
911,eng,"At this hour, there is incredible traffic.",3.9,
912,eng,We men are used to waiting for the women.,3.7,
913,eng,Aren't you ashamed to talk like that?,2.4,
914,eng,"Now I have to leave, they're calling for my flight.",3.4,
915,eng,He's Argentinean and he gives tennis lessons.,3.2,
916,eng,"Please, can you indicate this to me on the map?",1.1,
917,eng,The tap is running.,3,
918,eng,Please tell us where there is a grocery store.,2.2,
919,eng,I am four months pregnant.,3.3,
920,eng,I've got a pacemaker.,3.3,
921,eng,I would like batteries for this device.,3.3,
922,eng,Can I pay by credit card?,2.4,
923,eng,"Cut, wash and dry, please.",2.7,
924,eng,I feed my cat every morning and every evening.,3,
925,eng,Could you please repeat that?,1.6,
926,eng,"Generally, who visits their parents more, sons or daughters?",2.2,
927,eng,It would of course be cheaper for you to sleep at our place.,3.6,
928,eng,You will find this in a hardware store.,3,
929,eng,Every effort deserves a reward.,2.8,
930,eng,It costs an arm and a leg.,3.2,
931,eng,More than 90 percent of visits to a web page are from search engines.,3,
932,eng,I need your advice.,1.5,
933,eng,Any chance you know where I put my keys?,1.8,
934,eng,I'm getting ready for the worst.,1.2,
935,eng,"Why did you wake me up to tell me something that big? Now, I'll never be able to concentrate on my work!",1.2,
936,eng,That sounds interesting. What did you tell her?,2.8,
937,eng,Where is your twenty? I'll give you five bucks for it.,1.7,
938,eng,"Little by little, you will notice improvement in your writings.",3,
939,eng,I knew it was plastic but it tasted like wood.,3.5,
940,eng,Sometimes Spenser cares so much about Trang that he leads her to believe he is being overprotective.,1.4,
941,eng,There are things in this world which simply cannot be expressed in the form of words.,2.2,
942,eng,The most perfidious way of harming a cause consists of defending it deliberately with faulty arguments.,3,
943,eng,Take good care of yourself.,3,
944,eng,"As he sits in the dark, typing away at his computer, he hears the sound of morning birds chirping away and realizes he has been up all night - but the insomniac still refuses to sleep.",3,
945,eng,"Try as you might, but you cannot force a belief onto someone else, much less your own self.",2.4,
946,eng,The functions sine and cosine take values between -1 and 1 (-1 and 1 included).,3,
947,eng,I am against using death as a punishment. I am also against using it as a reward.,3,
948,eng,The second half of a man's life is made up of nothing but the habits he has acquired during the first half.,2.5,
949,eng,Can I stay at your place? I have nowhere to go.,1.4,
950,eng,"Girls are more likely than boys to be malnourished, suffer poverty, face violence and be refused an education, according to a new report.",3.9,
951,eng,If only we'd stop trying to be happy we could have a pretty good time.,1.5,
952,eng,"On May 18, a young Japanese couple was arrested after their one-year-old baby was found wrapped in a plastic bag and dumped in a gutter.",2.3,
953,eng,"We are haunted by an ideal life, and it is because we have within us the beginning and the possibility for it.",2.5,
954,eng,"Death is only a horizon, and a horizon is nothing save the limit of our sight.",2.1,
955,eng,The scientific theory I like the best is that the rings of Saturn are composed entirely of lost luggage.,4,
956,eng,The only way on Earth to multiply happiness is to divide it.,3.2,
957,eng,A known mistake is better than an unknown truth.,3,
958,eng,"Life is not an exact science, it is an art.",3.5,
959,eng,Everything is theoretically impossible until it's done.,2.9,
960,eng,"Until you make peace with who you are, you'll never be content with what you have.",3,
961,eng,"You may be disappointed if you fail, but you are doomed if you don't try.",3,
962,eng,"Boredom is the feeling that everything is a waste of time; serenity, that nothing is.",2.1,
963,eng,"Never lose sight of the importance of a beautiful sunrise, or watching your kids sleep, or the smell of rain. It's often the small things that really matter in life.",3.9,
964,eng,There is no distance on this earth as far away as yesterday.,3,
965,eng,Only those who risk going too far will know how far one can go.,3,
966,eng,Every man takes the limits of his own field of vision for the limits of the world.,3,
967,eng,We can travel through time. And we do at the remarkable rate of one second per second.,3,
968,eng,The real problem is not whether machines think but whether men do.,3.8,
969,eng,My interest is in the future because I'm going to spend the rest of my life there.,4,
970,eng,"The world is a book, and those who do not travel read only a page.",4,
971,eng,The problem with many things is the pre-conceived ideas we have about them!,3,
972,eng,The best way to predict the future is to invent it.,4,
973,eng,Advertising may be described as the science of arresting the human intelligence long enough to get money from it.,3.6,
974,eng,"If we knew what we were doing, it wouldn't be called research, would it?",1.2,
975,eng,"To the man who only has a hammer in the toolkit, every problem looks like a nail.",3,
976,eng,Nothing is impossible for the man who doesn't have to do it himself.,3.7,
977,eng,That's the thing about people who think they hate computers. What they really hate is lousy programmers.,4,
978,eng,"It is not the strongest of the species that survives, not the most intelligent, but the one most responsive to change.",3.8,
979,eng,"I think it is good that books still exist, but they do make me sleepy.",3.3,
980,eng,I can't understand why people are frightened of new ideas. I'm frightened of the old ones.,2,
981,eng,Hope is not a strategy.,3.4,
982,eng,"Japan is full of beautiful cities. Kyoto and Nara, for instance.",4,
983,eng,They are waiting for you in front of the door.,3,
984,eng,Do you have a pen on you?,2.8,
985,eng,Whose is this?,2.3,
986,eng,"Since Mario lied to me, I don't speak to him anymore.",3.8,
987,eng,It's a good deal.,3.8,
988,eng,Pick up your things and go away.,4.6,
989,eng,Put your hands down!,4,
990,eng,He laughs best who laughs last.,3.5,
991,eng,"The sooner, the better.",3.9,
992,eng,He doesn't look his age.,4.2,
993,eng,Do you like rap?,3,
994,eng,I love trips.,3.6,
995,eng,I really wasn't expecting that from you.,4.5,
996,eng,I've been waiting for hours.,4.1,
997,eng,He died at a very old age.,3.2,
998,eng,He's an old timer.,4.3,
999,eng,That's the snag.,3.8,
1000,eng,"We are what we pretend to be, so we must be careful what we pretend to be.",4.2,
1001,eng,I don't know him.,4.6,
1002,eng,I liked this film.,4.8,
1003,eng,She's rolling in money.,3.9,
1004,eng,It's not important.,4,
1005,eng,I don't care.,5,
1006,eng,I was about to go out when the phone rang.,3.4,
1007,eng,Look carefully. I'm going to show you how it's done.,5,
1008,eng,People should understand that the world is changing.,4.2,
1009,eng,"Speech is silver, but silence is golden.",5,
1010,eng,Fifty-two percent of British women prefer chocolate to sex.,3,
1011,eng,I don't like these remarks.,5,
1012,eng,I'm not convinced at all.,4.2,
1013,eng,Why do you want to leave today?,1.1,
1014,eng,I'm going to take my car.,3.8,
1015,eng,It's too good to be true.,2,
1016,eng,You cannot achieve the impossible without attempting the absurd.,3.5,
1017,eng,"You should only count on yourself--but even then, not too much.",2.8,
1018,eng,To be quiet in class is to respect other people's sleep.,4,
1019,eng,Logic is a systematic method of coming to the wrong conclusion with confidence.,4,
1020,eng,Cole's Axiom: The sum of the intelligence on the planet is a constant; the population is growing.,3,
1021,eng,People will accept your idea much more readily if you tell them Benjamin Franklin said it first.,4,
1022,eng,"If you see a man approaching you with the obvious intention of doing you good, you should run for your life.",5,
1023,eng,We learn from experience that men never learn anything from experience.,5,
1024,eng,Better late than never.,5,
1025,eng,"Like father, like son.",5,
1026,eng,The early bird catches the worm.,4.7,
1027,eng,In life there are ups and downs.,4.5,
1028,eng,All cats are grey in the dark.,5,
1029,eng,Teach me how you do it.,4,
1030,eng,No news is good news.,4.8,
1031,eng,"Wealth comes to those who make things happen, not to those who let things happen.",4.2,
1032,eng,"If you think education is expensive, wait till you see what ignorance costs you.",4.1,
1033,eng,I was expecting it!,5,
1034,eng,"The world is divided into people who get things done, and people who get the credit.",4.3,
1035,eng,I don't expect anything from you.,5,
1036,eng,Wait in the waiting room.,3.5,
1037,eng,More people get into trouble for things they say rather than for what they do.,4.3,
1038,eng,"People who will lie for you, will lie to you.",4,
1039,eng,There's no doubt.,5,
1040,eng,There isn't any solution.,5,
1041,eng,"In business today, too many executives spend money they haven't earned, to buy things they don't need, to impress people they don't even like.",3.2,
1042,eng,I didn't know he drank so much.,2.3,
1043,eng,Any activity you need to accomplish will take more time than you have.,4.5,
1044,eng,It's well done.,5,
1045,eng,Do you want fruit juice?,1.4,
1046,eng,He's a good person.,4.8,
1047,eng,Do as you want.,4.6,
